,city,date,product,plu_code,quantity,weight_lb,price_usd
0,"Washington, DC",2020-01-26,Corn,4078,155,10.872025209432469,3.224446402350441
1,"Washington, DC",2020-01-26,Tomato,4796,492,14.92302229423076,1.610875693219714
2,"Washington, DC",2020-01-26,Lychee,4309,493,15.527738975407557,0.7714702311903239
3,"Washington, DC",2020-01-26,Avocado,4225,131,15.174563506385313,0.9058965921401978
4,"Washington, DC",2020-01-26,Eggplant,4081,493,15.042235060408712,1.6368671873467975
5,"Washington, DC",2020-01-26,Peach,4404,288,7.045330801839009,2.739852677693125
6,"Washington, DC",2020-01-26,Avocado,4225,435,15.557515802094715,1.379857919481583
7,"Washington, DC",2020-01-26,Cucumber,4062,360,12.261238081380727,1.3257633198052645
8,"Washington, DC",2020-01-26,Pear,4412,207,16.90461746444926,2.0390481909969824
9,"Washington, DC",2020-01-26,Blueberries,4240,263,3.3158143770881,2.126157175586559
10,"Washington, DC",2020-01-26,Tomato,4796,399,11.203599423915149,0.6673233762965538
11,"Washington, DC",2020-01-26,Onion,4159,234,16.73111842898652,1.475742932886351
12,"Washington, DC",2020-01-26,Orange,4012,219,5.836159838736058,1.759156187134795
13,"Washington, DC",2020-01-26,Cucumber,4062,370,10.228250833833592,1.629938276205212
14,"Washington, DC",2020-01-26,Banana,4011,122,11.043700588773937,2.9281649402226324
15,"Washington, DC",2020-01-26,Blueberries,4240,237,20.97127431561239,2.7979274687939326
16,"Washington, DC",2020-01-26,Kiwi,4030,279,10.84377205851488,0.9855163765139878
17,"Washington, DC",2020-01-26,Onion,4159,423,18.563111206656323,2.747845293732826
18,"Washington, DC",2020-01-26,Grapes,4272,212,10.004169005528093,1.2253559670760297
19,"Washington, DC",2020-01-26,Eggplant,4081,431,4.9492607211228465,1.5940727156819776
20,"Washington, DC",2020-01-26,Blueberries,4240,205,8.843992605013774,3.2578881821362304
21,"Washington, DC",2020-01-26,Peach,4404,462,4.882784589286894,1.3035425589885563
22,"Washington, DC",2020-01-26,Banana,4011,187,17.12205853885971,1.3146853268961423
23,"Washington, DC",2020-01-26,Avocado,4225,259,8.914913688600064,2.0202465673908594
24,"Washington, DC",2020-01-26,Strawberries,4323,388,12.161670715920629,2.467155520000961
25,"Washington, DC",2020-01-26,Banana,4011,187,5.589982826262713,1.8709050347213634
26,"Washington, DC",2020-01-26,Pear,4412,497,10.695931648882107,1.9971159178065139
27,"Washington, DC",2020-01-26,Tomato,4796,420,9.450921043707059,2.270287453790661
28,"Washington, DC",2020-01-26,Apricot,3302,136,7.3114195282105365,2.249468883511145
29,"Washington, DC",2020-01-26,Mushroom,4650,309,3.8366890924051407,2.55657155510271
30,"Washington, DC",2020-01-26,Grapes,4272,222,2.538867299212143,1.9469005456892776
31,"Washington, DC",2020-01-26,Cucumber,4062,197,12.265458113560454,1.9385177730699072
32,"Washington, DC",2020-01-26,Mushroom,4650,244,20.23113486515358,1.0939692372456193
33,"Washington, DC",2020-01-26,Peach,4404,376,17.118822373636068,1.8123862212058157
34,"Washington, DC",2020-01-26,Apple (Fuji),4131,315,12.212762785237283,2.4170878774719315
35,"Washington, DC",2020-01-26,Kiwi,4030,381,18.001593752205373,2.1699406610685403
36,"Washington, DC",2020-01-26,Pear,4412,470,5.3664649034850305,0.9222714736941271
37,"Washington, DC",2020-01-26,Peach,4404,229,8.415343635855244,2.7073780306498523
38,"Washington, DC",2020-01-26,Apricot,3302,406,12.820833648834379,1.4864615937811323
39,"Washington, DC",2020-01-26,Blueberries,4240,422,11.110304990550505,2.6309941763873215
40,"Washington, DC",2020-01-26,Corn,4078,233,7.277115649450571,0.5659575756406412
41,"Washington, DC",2020-01-26,Strawberries,4323,433,5.5438087317626925,3.0892179976333867
42,"Washington, DC",2020-01-26,Banana,4011,222,8.316624897019938,2.8973882630351
43,"Washington, DC",2020-01-26,Banana,4011,190,14.372264195606114,3.170582219853532
44,"Washington, DC",2020-01-26,Apple (Gala),4134,471,3.0360191703774038,2.7733121094759556
45,"Washington, DC",2020-01-26,Onion,4159,485,14.72780574806966,1.264382365171332
46,"Washington, DC",2020-01-26,Lemon,4958,313,21.945903572440148,2.499427959509194
47,"Washington, DC",2020-01-26,Apple (Fuji),4131,447,20.94506477075629,0.6358636713819579
48,"Washington, DC",2020-01-26,Eggplant,4081,414,20.867604179121557,1.1122102420311422
49,"Washington, DC",2020-01-26,Strawberries,4323,179,2.864270772505552,2.0352953504305336
50,"Washington, DC",2020-01-26,Apple (Fuji),4131,357,3.0092429216951135,2.636139908002224
51,"Washington, DC",2020-01-26,Apricot,3302,270,9.002539525507018,2.495717628055718
52,"Washington, DC",2020-01-26,Apple (Gala),4134,416,7.244131756154821,1.0645355665590615
53,"Washington, DC",2020-01-26,Eggplant,4081,295,16.90901040104218,3.151012864033692
54,"Washington, DC",2020-01-26,Pear,4412,265,7.429703443730251,0.5580480774631724
55,"Washington, DC",2020-01-26,Eggplant,4081,300,10.88171419077553,3.232914632430766
56,"Washington, DC",2020-01-26,Blueberries,4240,430,19.155997147923337,2.5617992098093967
57,"Washington, DC",2020-01-26,Cucumber,4062,136,8.80049861650914,2.3143793968600224
58,"Washington, DC",2020-01-26,Eggplant,4081,271,21.564193218713626,3.2933435182902033
59,"Washington, DC",2020-01-26,Corn,4078,335,10.962189374957234,2.464897682378069
60,"Washington, DC",2020-01-26,Eggplant,4081,269,3.8043869558721783,1.4548963937093504
61,"Washington, DC",2020-01-26,Corn,4078,181,2.9241898274049167,1.452505373756867
62,"Washington, DC",2020-01-26,Lychee,4309,234,7.766547176754103,1.438807324168738
63,"Washington, DC",2020-01-26,Pear,4412,223,15.077169155608864,2.13477026358014
64,"Washington, DC",2020-01-26,Apricot,3302,313,7.41903585549444,1.7003455608617515
65,"Washington, DC",2020-01-26,Banana,4011,474,13.51141629079357,1.494408520415891
66,"Washington, DC",2020-01-26,Corn,4078,380,14.363588654669003,0.6190397264552303
67,"Washington, DC",2020-01-26,Grapes,4272,111,17.349411278311166,2.9699345280649143
68,"Washington, DC",2020-01-26,Pear,4412,462,18.13712441502139,1.4603305823518895
69,"Washington, DC",2020-01-26,Apple (Gala),4134,415,20.80641290806234,1.2691164413816296
70,"Washington, DC",2020-01-26,Grapes,4272,407,2.9063733244314793,2.0402559976326304
71,"Washington, DC",2020-01-26,Strawberries,4323,105,3.8969159831758593,2.0071750007453377
72,"Washington, DC",2020-01-26,Onion,4159,345,14.125975334178657,2.164058624953032
73,"Washington, DC",2020-01-26,Mushroom,4650,420,9.422876792447642,1.875735766964499
74,"Washington, DC",2020-01-26,Peach,4404,456,4.042020164104179,3.0244228904019113
75,"Washington, DC",2020-01-26,Corn,4078,177,15.482433109451087,3.1741475205169993
76,"Washington, DC",2020-01-26,Corn,4078,429,6.88589960061945,3.1576117489719766
77,"Washington, DC",2020-01-26,Strawberries,4323,401,21.985709984553978,0.7687148126540706
78,"Washington, DC",2020-01-26,Kiwi,4030,209,3.107979934755713,1.5672652138280683
79,"Washington, DC",2020-01-26,Pear,4412,363,8.345747355232016,1.4467501958832145
80,"Washington, DC",2020-01-26,Blueberries,4240,199,3.2136631034780296,0.573077153833583
81,"Washington, DC",2020-01-26,Cucumber,4062,342,4.936011087195948,2.578997219691519
82,"Washington, DC",2020-01-26,Grapes,4272,160,12.786716223414988,2.4494887599255892
83,"Washington, DC",2020-01-26,Pear,4412,323,11.006746592372657,2.230905211309437
84,"Washington, DC",2020-01-26,Grapes,4272,459,20.997790151974186,1.9434502106276343
85,"Washington, DC",2020-01-26,Lychee,4309,284,11.082298707636074,1.2408874117652886
86,"Washington, DC",2020-01-26,Apple (Gala),4134,256,11.41453662593849,2.0497627950506287
87,"Washington, DC",2020-01-26,Strawberries,4323,295,10.858288842160256,2.7886829260503876
88,"Washington, DC",2020-01-26,Mushroom,4650,117,20.349887733068318,1.6896109792985954
89,"Washington, DC",2020-01-26,Pear,4412,244,13.104792622104288,0.8267632746254094
90,"Washington, DC",2020-01-26,Avocado,4225,105,3.4745262173935774,2.0604551485856066
91,"Washington, DC",2020-01-26,Grapes,4272,168,19.22651787661016,1.3003172947326676
92,"Washington, DC",2020-01-26,Apricot,3302,240,5.809312457032502,0.6597991141141393
93,"Washington, DC",2020-01-26,Grapes,4272,282,18.31683119190857,1.2164158410858363
94,"Washington, DC",2020-01-26,Mushroom,4650,295,21.68717965851538,2.461253371916246
95,"Washington, DC",2020-01-26,Apple (Fuji),4131,191,18.316673357738182,1.8392442875890993
96,"Washington, DC",2020-01-26,Mushroom,4650,219,9.418504282971845,2.8585484399343843
97,"Washington, DC",2020-01-26,Orange,4012,423,4.229103688849136,2.2444235055707398
98,"Washington, DC",2020-01-26,Corn,4078,437,7.932389860413969,2.9944348686374727
99,"Washington, DC",2020-01-26,Eggplant,4081,227,12.339794642478228,1.267095747764688
100,"Washington, DC",2020-01-26,Corn,4078,446,2.5113659408874813,1.342665263521485
101,"Washington, DC",2020-01-26,Orange,4012,475,2.3212062518112364,2.8769153028377334
102,"Washington, DC",2020-01-26,Orange,4012,380,5.945981713803485,3.2612597423838454
103,"Washington, DC",2020-01-26,Onion,4159,456,20.368421845138073,2.3967754640732895
104,"Washington, DC",2020-01-26,Kiwi,4030,239,15.80206018034369,2.776975657278672
105,"Washington, DC",2020-01-26,Peach,4404,483,3.7808253112249077,1.808515157911461
106,"Washington, DC",2020-01-26,Peach,4404,333,15.236690409481527,1.1661232705344446
107,"Washington, DC",2020-01-26,Strawberries,4323,299,20.517411617795005,1.8228035675245338
108,"Washington, DC",2020-01-26,Apricot,3302,292,5.176532226940617,0.8955982343293727
109,"Washington, DC",2020-01-26,Grapes,4272,128,16.294888076605275,2.2983005308895375
110,"Washington, DC",2020-01-26,Apricot,3302,319,7.885204386198894,2.726219877554104
111,"Washington, DC",2020-01-26,Mushroom,4650,372,20.157218611147258,0.7906105056288653
112,"Washington, DC",2020-01-26,Avocado,4225,317,9.169952833652497,3.105677077849396
113,"Washington, DC",2020-01-26,Lemon,4958,287,11.408979841554538,2.729962982598227
114,"Washington, DC",2020-01-26,Avocado,4225,150,14.187892106734218,1.5323255683877506
115,"Washington, DC",2020-01-26,Peach,4404,300,10.529112474340947,0.6992740159737878
116,"Washington, DC",2020-01-26,Avocado,4225,103,7.464322373084724,3.006264167267364
117,"Washington, DC",2020-01-26,Blueberries,4240,364,18.139506550645457,1.7733251613215544
118,"Washington, DC",2020-01-26,Kiwi,4030,478,9.702206287626177,3.028930303419475
119,"Washington, DC",2020-01-26,Lychee,4309,385,4.032463385071606,1.1635818939073943
120,"Washington, DC",2020-01-26,Strawberries,4323,233,21.896890173200518,1.130943800858222
121,"Washington, DC",2020-01-26,Avocado,4225,273,3.2501324871554975,1.5841599460225553
122,"Washington, DC",2020-01-26,Tomato,4796,144,5.629630860220641,2.4632678771857175
123,"Washington, DC",2020-01-26,Apple (Fuji),4131,166,14.353619843488561,0.9182636482408271
124,"Washington, DC",2020-01-26,Grapes,4272,299,3.867178590828553,2.400886711443309
125,"Washington, DC",2020-01-26,Apple (Fuji),4131,286,21.229016911936924,3.088797406421509
126,"Washington, DC",2020-01-26,Blueberries,4240,277,10.146522307023407,1.1931467076181435
127,"Washington, DC",2020-01-26,Apricot,3302,311,8.505995465954767,1.216093827399891
128,"Washington, DC",2020-01-26,Onion,4159,336,9.941088399011642,1.2411929963971489
129,"Washington, DC",2020-01-26,Mushroom,4650,496,11.121233719494194,0.6794443922815845
130,"Washington, DC",2020-01-26,Strawberries,4323,305,9.882642751932146,1.675252500816714
131,"Washington, DC",2020-01-26,Lychee,4309,373,17.765703473566102,1.9554067676770504
132,"Washington, DC",2020-01-26,Blueberries,4240,169,2.9763498878106476,1.9600053642177957
133,"Washington, DC",2020-01-26,Banana,4011,214,11.304765751818197,1.301589750230778
