restaurant,Category,Name,Calories,Carbs,Fat
A&W Restaurants,Burgers,Coney (Chili) Dog,760,45,45
A&W Restaurants,Entrees,Chili Fries,340,26,20
A&W Restaurants,French Fries,Strawberry Milkshake (small),370,49,15
A&W Restaurants,Shakes,A&W® Root Beer Freeze (large),670,90,29
A&W Restaurants,Shakes,Caramel Sundae,820,150,18
A&W Restaurants,Desserts,Strawberry Banana Smoothee,340,57,9
A&W Restaurants,Shakes,Chocolate Fudge Blendrrr,420,86,6
A&W Restaurants,Desserts,Strawberry Limeade,1010,152,59
A&W Restaurants,Drinks,Watermelon Slushee,420,105,0
A&W Restaurants,Drinks,Lime Slushee,270,73,0
A&W Restaurants,Drinks,A&W® Root Beer,480,119,0
A&W Restaurants,Drinks,Cheeseburger,880,232,0
A&W Restaurants,Burgers,French Fries (Regular),420,37,21
A&W Restaurants,French Fries,Cheese Curds (Large),310,45,12
A&W Restaurants,Sides,Chocolate Milkshake (small),1140,54,80
A&W Restaurants,Shakes,Orange Freeze (small),700,100,29
A&W Restaurants,Shakes,A&W® Diet Root Beer Float (small),450,108,8
A&W Restaurants,Shakes,Strawberry Smoothee,170,30,5
A&W Restaurants,Shakes,Limeade,610,121,10
A&W Restaurants,Drinks,Cherry Limeade,140,38,0
A&W Restaurants,Drinks,Lemon Slushee,340,90,0
A&W Restaurants,Drinks,Blue Raspberry Slushee,330,82,0
A&W Restaurants,Drinks,A&W® Diet Root Beer,570,142,0
A&W Restaurants,Drinks,Grilled Chicken Sandwich,0,0,0
A&W Restaurants,Chicken,French Fries (Large),400,31,15
A&W Restaurants,French Fries,Chili,430,61,17
A&W Restaurants,Sides,Chocolate Milkshake (medium),190,22,6
A&W Restaurants,Shakes,Orange Freeze (medium),880,125,36
A&W Restaurants,Shakes,A&W® Diet Root Beer Float (medium),600,142,10
A&W Restaurants,Shakes,Orange Float (large),170,30,5
A&W Restaurants,Shakes,Reese's® Peanut Butter Fudge Blendrrr,610,137,9
A&W Restaurants,Desserts,Limeade,700,103,41
A&W Restaurants,Drinks,Cherry Limeade,210,55,0
A&W Restaurants,Drinks,Lemon Slushee,530,138,0
A&W Restaurants,Drinks,Blue Raspberry Slushee,440,110,0
A&W Restaurants,Drinks,A&W® Diet Root Beer,740,182,0
A&W Restaurants,Drinks,Original Double Cheeseburger,0,0,0
A&W Restaurants,Burgers,Coney (Chili) Cheese Dog,680,44,38
A&W Restaurants,Entrees,Breaded Onion Rings (Regular),380,28,23
A&W Restaurants,Sides,Strawberry Milkshake (medium),350,45,16
A&W Restaurants,Shakes,A&W® Diet Root Beer Freeze (small),840,113,36
A&W Restaurants,Shakes,A&W® Root Beer Float (small),260,39,8
A&W Restaurants,Shakes,Strawberry Banana Smoothee,330,70,5
A&W Restaurants,Shakes,Oreo® Cookies & Cream Blendrrr,680,137,10
A&W Restaurants,Desserts,Strawberry Limeade,340,56,12
A&W Restaurants,Drinks,Watermelon Slushee,560,143,0
A&W Restaurants,Drinks,Lime Slushee,360,99,0
A&W Restaurants,Drinks,A&W® Root Beer,770,188,0
A&W Restaurants,Drinks,Papa Single Burger,1760,464,0
A&W Restaurants,Burgers,Hot Dog (plain),470,38,25
A&W Restaurants,Entrees,Cheese Fries,310,23,19
A&W Restaurants,French Fries,Reese's® Polar Swirl®,390,50,18
A&W Restaurants,Desserts,A&W® Root Beer Freeze (medium),740,97,31
A&W Restaurants,Shakes,Hot Fudge Sundae,480,89,10
A&W Restaurants,Desserts,Strawberry Banana Smoothee,350,54,11
A&W Restaurants,Shakes,Chocolate Fudge Blendrrr,390,78,6
A&W Restaurants,Desserts,Strawberry Limeade,560,92,32
A&W Restaurants,Drinks,Cherry Slushee,290,75,0
A&W Restaurants,Drinks,Lime Slushee,900,224,0
A&W Restaurants,Drinks,A&W® Root Beer,380,94,0
A&W Restaurants,Drinks,Original Bacon Cheeseburger ,440,116,0
A&W Restaurants,Burgers,Cheese Dog,530,39,30
A&W Restaurants,Entrees,Breaded Onion Rings (Large),350,26,22
A&W Restaurants,Sides,Vanilla Milkshake (small),480,62,27
A&W Restaurants,Shakes,A&W® Diet Root Beer Freeze (medium),720,97,31
A&W Restaurants,Shakes,A&W® Root Beer Float (medium),340,53,10
A&W Restaurants,Shakes,Strawberry Smoothee,350,77,5
A&W Restaurants,Shakes,Oreo® Cookies & Cream Blendrrr,360,70,6
A&W Restaurants,Desserts,Cherry Limeade,430,72,15
A&W Restaurants,Drinks,Watermelon Slushee,190,51,0
A&W Restaurants,Drinks,Blue Raspberry Slushee,460,124,0
A&W Restaurants,Drinks,A&W® Diet Root Beer,270,67,0
A&W Restaurants,Drinks,Hamburger,0,0,0
A&W Restaurants,Burgers,French Fries (Small/ Kids),380,33,19
A&W Restaurants,French Fries,Cheese Curds (Regular),200,28,8
A&W Restaurants,Sides,Vanilla Milkshake (medium,570,27,40
A&W Restaurants,Shakes,A&W® Diet Root Beer Freeze (large),900,121,39
A&W Restaurants,Shakes,A&W® Root Beer Float (large),600,92,18
A&W Restaurants,Shakes,Strawberry Smoothee,640,136,10
A&W Restaurants,Shakes,Oreo® Cookies & Cream Blendrrr,370,74,6
A&W Restaurants,Desserts,Cherry Limeade,650,109,21
A&W Restaurants,Drinks,Watermelon Slushee,300,79,0
A&W Restaurants,Drinks,Blue Raspberry Slushee,720,197,0
A&W Restaurants,Drinks,A&W® Diet Root Beer,370,91,0
A&W Restaurants,Drinks,Chicken Strips- 3 pieces,0,0,0
A&W Restaurants,Chicken,Corn Dog Nuggets® (Regular),500,32,29
A&W Restaurants,Sides,M&M's® Polar Swirl®,280,32,13
A&W Restaurants,Desserts,Vanilla Cone (large),710,107,25
A&W Restaurants,Desserts,Strawberry Sundae,260,41,7
A&W Restaurants,Desserts,Pineapple Banana Smoothee,300,47,8
A&W Restaurants,Shakes,Reese's® Peanut Butter Fudge Blendrrr,480,104,6
A&W Restaurants,Desserts,Limeade,1360,203,79
A&W Restaurants,Drinks,Cherry Slushee,390,103,0
A&W Restaurants,Drinks,Lemon Slushee,450,112,0
A&W Restaurants,Drinks,A&W® Root Beer,890,221,0
A&W Restaurants,Drinks,A&W® Diet Root Beer,220,58,0
A&W Restaurants,Drinks,Crispy Chicken Sandwich,0,0,0
A&W Restaurants,Chicken,Corn Dog Nuggets® (Small/ Kids),550,52,25
A&W Restaurants,Sides,Extra Burger Patty,180,20,8
A&W Restaurants,Sides,Vanilla Cone (regular),170,2,12
A&W Restaurants,Desserts,Orange Freeze (medium),200,32,5
A&W Restaurants,Shakes,A&W® Diet Root Beer Float (large),970,223,18
A&W Restaurants,Shakes,Pineapple Banana Smoothee,350,60,10
A&W Restaurants,Shakes,Reese's® Peanut Butter Fudge Blendrrr,400,85,6
A&W Restaurants,Desserts,Limeade,710,108,41
A&W Restaurants,Drinks,Cherry Slushee,250,66,0
A&W Restaurants,Drinks,Lemon Slushee,330,83,0
A&W Restaurants,Drinks,A&W® Root Beer,560,139,0
A&W Restaurants,Drinks,A&W® Diet Root Beer,160,43,0
A&W Restaurants,Drinks,Papa Burger®,0,0,0
A&W Restaurants,Burgers,Crunchy Shrimp,690,44,39
A&W Restaurants,Seafood,Chili Cheese Fries,340,34,19
A&W Restaurants,French Fries,Oreo® Polar Swirl®,410,52,17
A&W Restaurants,Desserts,A&W® Root Beer Freeze (small),690,107,24
A&W Restaurants,Shakes,Chocolate Sundae,370,68,8
A&W Restaurants,Desserts,Pineapple Banana Smoothee,320,53,8
A&W Restaurants,Shakes,Chocolate Fudge Blendrrr,750,160,10
A&W Restaurants,Desserts,Strawberry Limeade,490,68,30
A&W Restaurants,Drinks,Cherry Slushee,230,58,0
A&W Restaurants,Drinks,Lime Slushee,570,141,0
A&W Restaurants,Drinks,A&W® Root Beer,280,69,0
A&W Restaurants,Drinks,,270,72,0
Applebee's,Salads,Baked Potato,180,12,15
Applebee's,Sides,"Boneless Wings, Southern BBQ",430,42,28
Applebee's,Appetizers,"Bruschetta Chicken Salad, Half w/o dressing ",1110,83,55
Applebee's,Salads,Cheese Quesadilla Grande,580,40,30
Applebee's,Appetizers,Chicken Fettuccine Carbonara ,1130,85,87
Applebee's,Entrees,Chicken Tortilla Soup,1440,107,82
Applebee's,Soups,Classic Club House Grill,140,12,7
Applebee's,Sandwiches,"Crunchy Onion Rings, Side",1150,77,67
Applebee's,Sides,French Onion Soup ,530,63,28
Applebee's,Soups,Frozen Lemonades,260,16,14
Applebee's,Drinks,Grilled Shrimp ‘N Spinach Salad,255,64,0
Applebee's,Salads,"Grilled Steak Caesar, Half w/o dressing",260,20,15
Applebee's,Salads,House Sirloin,230,11,10
Applebee's,Entrees,Kids Grape Juice (6.75 oz),250,0,12
Applebee's,Kid's Meals,Kids Mini Hamburger – 1,80,20,0
Applebee's,Kid's Meals,Kids Vanilla Sundae with Hershey’s Syrup,390,23,27
Applebee's,Kid's Meals,Oriental Chicken Salad,330,49,14
Applebee's,Salads,"Pecan-Crusted Chicken Salad, Half",420,25,29
Applebee's,Salads,Queso Blanco,820,72,48
Applebee's,Appetizers,"Santa Fe Chicken Salad, Regular w/o dressing",1330,114,82
Applebee's,Salads,Sizzling Skillet Fajitas - Combo,870,52,56
Applebee's,Entrees,Spinach & Artichoke Dip,1430,150,60
Applebee's,Appetizers,Teriyaki Chicken Pasta ,1525,124,102
Applebee's,Entrees,Trios Chicken Quesadilla Grande,450,73,8
Applebee's,Appetizers,Trios Spinach Artichoke Dip,650,44,47
Applebee's,Appetizers,Weight Watchers® Spicy Pineapple Glazed Shrimp & Spinach ,560,41,39
Applebee's,Seafood,Applebee’s House Salad,310,48,5
Applebee's,Salads,Bacon Cheese Chicken Grill,180,12,15
Applebee's,Sandwiches,"Boneless Wings, Hot Buffalo",750,50,33
Applebee's,Appetizers,"Bruschetta Chicken Salad, Half ",1170,67,69
Applebee's,Salads,California Turkey Club,740,45,44
